time,rpm,torque,omega,power
0,954.976,34.8387,100.005,3484.04
0.0001,955.022,34.8092,100.01,3481.25
0.0002,955.067,34.7796,100.014,3478.46
0.0003,955.113,34.75,100.019,3475.67
0.0004,955.158,34.7205,100.024,3472.88
0.0005,955.203,34.6909,100.029,3470.08
0.0006,955.247,34.6614,100.033,3467.29
0.0007,955.291,34.6318,100.038,3464.49
0.0008,955.335,34.6023,100.042,3461.7
0.0009,955.379,34.5728,100.047,3458.9
0.001,955.422,34.5432,100.052,3456.11
0.0011,955.466,34.5137,100.056,3453.31
0.0012,955.508,34.4842,100.061,3450.51
0.0013,955.551,34.4547,100.065,3447.71
0.0014,955.593,34.4252,100.069,3444.91
0.0015,955.635,34.3957,100.074,3442.11
0.0016,955.677,34.3663,100.078,3439.31
0.0017,955.718,34.3368,100.083,3436.51
0.0018,955.759,34.3073,100.087,3433.71
0.0019,955.8,34.2779,100.091,3430.91
0.002,955.841,34.2485,100.095,3428.11
0.0021,955.881,34.2191,100.1,3425.31
0.0022,955.921,34.1897,100.104,3422.52
0.0023,955.961,34.1603,100.108,3419.72
0.0024,956,34.1309,100.112,3416.92
0.0025,956.039,34.1015,100.116,3414.12
0.0026,956.078,34.0722,100.12,3411.32
0.0027,956.117,34.0429,100.124,3408.52
0.0028,956.155,34.0136,100.128,3405.72
0.0029,956.193,33.9843,100.132,3402.93
0.003,956.231,33.955,100.136,3400.13
0.0031,956.269,33.9258,100.14,3397.34
0.0032,956.306,33.8966,100.144,3394.54
0.0033,956.343,33.8674,100.148,3391.75
0.0034,956.379,33.8382,100.152,3388.96
0.0035,956.416,33.809,100.156,3386.17
0.0036,956.452,33.7799,100.159,3383.38
0.0037,956.488,33.7508,100.163,3380.59
0.0038,956.523,33.7217,100.167,3377.8
0.0039,956.558,33.6927,100.171,3375.02
0.004,956.593,33.6637,100.174,3372.23
0.0041,956.628,33.6347,100.178,3369.45
0.0042,956.663,33.6057,100.181,3366.67
0.0043,956.697,33.5768,100.185,3363.9
0.0044,956.731,33.5479,100.189,3361.12
0.0045,956.764,33.5191,100.192,3358.35
0.0046,956.798,33.4903,100.196,3355.58
0.0047,956.831,33.4615,100.199,3352.81
0.0048,956.863,33.4327,100.202,3350.04
0.0049,956.896,33.404,100.206,3347.28
0.005,956.928,33.3753,100.209,3344.52
0.0051,956.96,33.3467,100.213,3341.76
0.0052,956.992,33.3181,100.216,3339.01
0.0053,957.023,33.2896,100.219,3336.25
0.0054,957.054,33.2611,100.222,3333.51
0.0055,957.085,33.2326,100.226,3330.76
0.0056,957.116,33.2042,100.229,3328.02
0.0057,957.146,33.1758,100.232,3325.28
0.0058,957.176,33.1475,100.235,3322.55
0.0059,957.206,33.1192,100.238,3319.81
